CCD CH, R(0), R(1), R(2),  Max line
RED0_0,      0.993512,  6.56318e-007, -1.65978e-011,       19782.0
RED0_1,      0.993513,  5.56112e-007, -1.15883e-011,       19999.0
RED1_0,      0.991350,  9.71119e-007, -2.72570e-011,       17744.0
RED1_1,      0.992122,  8.24692e-007, -2.15839e-011,       19065.0
RED2_0,      0.992013,  9.81043e-007, -3.01240e-011,       16273.0
RED2_1,      0.993863,  7.47573e-007, -2.27656e-011,       16421.0
RED3_0,      0.993253,  8.46012e-007, -2.65227e-011,       15913.0
RED3_1,      0.992016,  1.00520e-006, -3.16420e-011,       15882.0
RED4_0,      0.994068,  6.98080e-007, -2.05368e-011,       16945.0
RED4_1,      0.994355,  6.83124e-007, -2.06667e-011,       16487.0
RED5_0,      0.993694,  7.45669e-007, -2.20454e-011,       16829.0
RED5_1,      0.992069,  9.19091e-007, -2.66286e-011,       17193.0
RED6_0,      0.992385,  9.07625e-007, -2.70447e-011,       16735.0
RED6_1,      0.991203,  1.01809e-006, -2.94561e-011,       17260.0
RED7_0,      0.996733,  4.49697e-007, -1.54756e-011,       14498.0
RED7_1,      0.992276,  9.40814e-007, -2.86496e-011,       16357.0
RED8_0,      0.993029,  8.38240e-007, -2.51984e-011,       16584.0
RED8_1,      0.990753,  1.02421e-006, -2.83600e-011,       17998.0
RED9_0,      0.993173,  9.58888e-007, -3.36720e-011,       14197.0
RED9_1,      0.991427,  1.16367e-006, -3.94870e-011,       14710.0
IR10_0,      0.999461,  1.47291e-007, -1.00602e-011,       7250.00
IR10_1,       1.00000,      0.000000,      0.000000,      0.000000
IR11_0,      0.999045,  2.41503e-007, -1.52688e-011,       7890.00
IR11_1,      0.999775,  8.27209e-008, -7.59379e-012,       5340.00
BG12_0,      0.991913,  1.17917e-006, -4.29846e-011,       13691.0
BG12_1,      0.985028,  2.12746e-006, -7.55748e-011,       14039.0
BG13_0,      0.991716,  1.37536e-006, -5.70870e-011,       12029.0
BG13_1,      0.994335,  9.52156e-007, -4.00116e-011,       11871.0
